id,year,active_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
155092,2014,1,1,13246,Ukraine:Donetsk,14124,Government of Ukraine - DPR,61,369,Government of Ukraine,5840,,DPR,1,"""Reuters News,2014-08-20,Street battles in eastern Ukraine town kill nine - ministry""",Reuters News,8/20/14,Street battles in eastern Ukraine town kill nine - ministry,Ukrainian Interior Ministry,1,Ilovaisk town,Donetsk Oblast,Amvrosiivka Raion,47.926,38.194,198437,Ukraine,369,Europe,1,1,8/20/14,8/20/14,9,0,0,0,9,9,9
151913,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Pajhwok Afghan News,2014-08-21,23 rebels killed, police officer wounded""",Pajhwok Afghan News,8/21/14,"23 rebels killed, police officer wounded","Governor's spokesman, Taleban",3,Andar district,Ghazni province,Andar district,33.305843,68.446963,177617,Afghanistan,700,Asia,3,2,8/20/14,8/21/14,0,8,0,0,8,8,8
155097,2014,1,1,13247,Ukraine:Lugansk,14184,Government of Ukraine - LPR,61,369,Government of Ukraine,5839,,LPR,1,"""Xinhua News Agency,2014-08-21,10 killed as Ukrainian government steps up offensive against rebels""",Xinhua News Agency,8/21/14,10 killed as Ukrainian government steps up offensive against rebels,Ukrainian National Security and Defense Council,4,Luhansk Oblast,Luhansk Oblast,,48.92,39.02,199879,Ukraine,369,Europe,1,2,8/20/14,8/21/14,0,0,2,0,2,2,2
155098,2014,1,1,13246,Ukraine:Donetsk,14124,Government of Ukraine - DPR,61,369,Government of Ukraine,5840,,DPR,1,"""Xinhua News Agency,2014-08-21,10 killed as Ukrainian government steps up offensive against rebels""",Xinhua News Agency,8/21/14,10 killed as Ukrainian government steps up offensive against rebels,local authorities,1,Mospyne town,Donetsk Oblast,Donetsk City Municipality,47.8787,38.06,198437,Ukraine,369,Europe,1,2,8/20/14,8/21/14,0,0,2,0,2,2,2
149809,2014,1,3,13230,NDFB-S - Civilians,14097,NDFB-S - Civilians,5826,,NDFB-S,1,,Civilians,5,"""SATP, Assam timeline, 2014,1753-01-01,August 21"";""Press Trust of India,2014-08-23,NDFB suspects girl as informer, shoots her in front of parents"";""SATP, Assam timeline, 2014,1753-01-01,August 20"";""Assam Tribune,2014-08-23,Killing of Priya Basumatary by NDFB(S) condemned"";""The Telegraph,2014-08-24,Protests over girl's 'execution' by rebels""","SATP, Assam timeline, 2014;Press Trust of India;SATP, Assam timeline, 2014;Assam Tribune;The Telegraph",1753-01-01;2014-08-23;1753-01-01;2014-08-23;2014-08-24,"August 21;NDFB suspects girl as informer, shoots her in front of parents;August 20;Killing of Priya Basumatary by NDFB(S) condemned;Protests over girl's 'execution' by rebels",NDFB-IKS released the execution video ,2,Runikhata village,Assam State,Chirang District,26.634217,90.381864,168301,India,750,Asia,1,2,8/20/14,8/22/14,0,0,1,0,1,1,1
120716,2014,1,1,259,Iraq:Government,524,Government of Iraq - IS,116,645,Government of Iraq,234,,IS,1,"""BBC Monitoring Middle East,2014-08-21,Iraq: Programme summary of Kurdish NRT Satellite TV news 1900 gmt 20 Aug 14""",BBC Monitoring Middle East,8/21/14,Iraq: Programme summary of Kurdish NRT Satellite TV news 1900 gmt 20 Aug 14,"NRT TV, Sulaymaniyah",1,Jalawlā’ town,Diyālá province,Qaḑā’ Khānaqīn,34.277248,45.177861,179011,Iraq,645,Middle East,1,1,8/21/14,8/21/14,1,3,0,0,4,4,4
120719,2014,1,3,506,IS - Civilians,973,IS - Civilians,234,,IS,1,,Civilians,1,"""Reuters News,2014-08-22,Islamic State militants stone man to death in Iraq - witnesses""",Reuters News,8/22/14,Islamic State militants stone man to death in Iraq - witnesses,Witnesses,1,Mosul town,Nīnawá province,Qaḑā’ al Mawşil,36.335,43.118889,181887,Iraq,645,Middle East,1,1,8/21/14,8/21/14,0,0,1,0,1,1,1
142846,2014,1,3,499,CPI-Maoist - Civilians,966,CPI-Maoist - Civilians,195,,CPI-Maoist,1,,Civilians,1,"""SATP, Odisha timeline, 2014,1753-01-01,-""","SATP, Odisha timeline, 2014",1753-01-01,-,,1,Namagonda village,Odisha State,Malkangiri District,18.289771,81.736854,156044,India,750,Asia,1,1,8/21/14,8/21/14,0,0,1,0,1,1,1
151972,2014,1,1,333,Afghanistan:Government,735,Government of Afghanistan - Taleban,130,700,Government of Afghanistan,303,,Taleban,1,"""Xinhua News Agency,2014-08-25,Afghan army kills 18 militants during operations""",Xinhua News Agency,8/25/14,Afghan army kills 18 militants during operations,Defense Ministry,4,Kandahar province,Kandahar province,,31,65.75,174732,Afghanistan,700,Asia,2,2,8/24/14,8/25/14,0,6,0,0,6,6,6
144008,2014,0,1,365,India:Assam,793,Government of India - ULFA,141,750,Government of India,326,,ULFA,2,"""SATP, Meghalaya timeline 2914,1753-01-01,August 21"";""Press Trust of India,2014-08-21,Three militants killed in encounter""","SATP, Meghalaya timeline 2914;Press Trust of India",1753-01-01;2014-08-21,August 21;Three militants killed in encounter,police,1,"Enggok Songma	village, Samanda sub-district",Meghalaya State,East Garo Hills District,25.656856,90.486343,166861,India,750,Asia,1,1,8/21/14,8/21/14,0,1,0,0,1,1,1
